Date,Open,High,Low,Close,Volume
"Aug 5, 2021",35.34,36.44,35.32,35.85,"10,530,962"
"Aug 6, 2021",36.64,37.26,36.07,36.86,"13,856,028"
"Aug 9, 2021",36.32,36.85,35.86,36.46,"9,479,633"
"Aug 10, 2021",36.7,38.47,36.54,38.22,"17,807,380"
"Aug 11, 2021",38.51,39.2,37.87,38.73,"16,883,123"
"Aug 12, 2021",38.52,38.57,37.54,38.39,"11,492,417"
"Aug 13, 2021",38.5,38.7,38.01,38.1,"12,872,640"
"Aug 16, 2021",36.84,37.13,36.13,36.84,"13,434,755"
"Aug 17, 2021",35.89,35.95,34.06,34.71,"23,492,844"
"Aug 18, 2021",34.14,34.61,33.84,33.88,"18,157,869"
"Aug 19, 2021",32.62,32.79,31.65,32.42,"32,408,559"
"Aug 20, 2021",32.7,33.15,32.2,32.8,"21,881,060"
"Aug 23, 2021",33.7,34.4,33.63,34.2,"16,189,623"
"Aug 24, 2021",34.95,35.39,34.8,35.21,"15,470,679"
"Aug 25, 2021",35.25,35.45,34.61,35.11,"9,923,530"
"Aug 26, 2021",34.86,35.27,34.46,34.54,"11,336,100"
"Aug 27, 2021",34.87,36.83,34.87,36.57,"18,805,795"
"Aug 30, 2021",37.28,37.36,36.55,36.64,"13,357,867"
"Aug 31, 2021",36.55,36.73,35.53,36.39,"16,216,136"
"Sep 1, 2021",35.73,36.29,35.04,35.89,"16,478,206"
"Sep 2, 2021",36.14,36.7,35.99,36.27,"10,984,189"
"Sep 3, 2021",36.11,36.53,35.92,36.14,"12,690,689"
"Sep 7, 2021",35.97,36.67,35.95,36.36,"10,303,507"
"Sep 8, 2021",36.12,36.13,34.36,34.37,"18,265,713"
"Sep 9, 2021",34.51,35.35,34.5,34.81,"12,518,813"
"Sep 10, 2021",35.27,36.6,35.21,35.48,"22,605,889"
"Sep 13, 2021",35.77,35.88,34.56,35.29,"13,867,371"
"Sep 14, 2021",35.16,35.37,34.65,34.79,"14,925,189"
"Sep 15, 2021",35.14,36.79,35.14,36.74,"18,871,361"
"Sep 16, 2021",35.55,35.57,33.73,34.3,"35,807,786"
"Sep 17, 2021",34.26,34.58,32.57,33.05,"37,567,715"
"Sep 20, 2021",30.76,31.59,30.52,31.17,"38,463,194"
"Sep 21, 2021",31.45,31.5,30.02,30.48,"35,686,626"
"Sep 22, 2021",31.6,32.26,31.47,31.56,"28,813,468"
"Sep 23, 2021",31.97,32.38,31.67,32.11,"20,270,424"
"Sep 24, 2021",31.69,32.69,31.69,32.24,"15,164,300"
"Sep 27, 2021",32.28,33.95,32.28,33.91,"22,469,299"
"Sep 28, 2021",34.02,34.05,32.81,33.57,"19,760,997"
