Date,Open,High,Low,Close,Volume
"Aug 5, 2021",152.28,153.69,152.01,153.15,"9,151,499"
"Aug 6, 2021",155.19,157.82,155.11,157.5,"13,328,750"
"Aug 9, 2021",157.52,158.55,155.9,157.33,"9,516,867"
"Aug 10, 2021",156.74,159.98,156.31,159.26,"8,666,998"
"Aug 11, 2021",160,161.5,159.08,161.16,"9,156,458"
"Aug 12, 2021",161.88,162.37,160.55,161.79,"8,849,610"
"Aug 13, 2021",161.79,162.16,159.57,159.98,"8,980,903"
"Aug 16, 2021",158.94,159.03,156.78,158.93,"8,759,767"
"Aug 17, 2021",157.57,158.86,155.27,157.01,"9,347,213"
"Aug 18, 2021",156.31,158.01,155.34,155.58,"8,065,493"
"Aug 19, 2021",153.16,155.56,153.01,154.28,"9,517,737"
"Aug 20, 2021",154.35,154.9,153.16,154.72,"6,974,102"
"Aug 23, 2021",155.33,157.09,155.24,156.7,"7,934,587"
"Aug 24, 2021",157,158.55,156.87,157.67,"7,670,925"
"Aug 25, 2021",158.51,161.78,157.8,160.92,"11,335,040"
"Aug 26, 2021",162.26,163.83,161.15,161.75,"11,027,451"
"Aug 27, 2021",161.75,163.16,161.26,163.05,"8,780,185"
"Aug 30, 2021",163.21,163.49,159.88,160.44,"7,937,561"
"Aug 31, 2021",160.44,161.37,159.35,159.95,"12,340,838"
"Sep 1, 2021",160.22,160.76,158.97,159.72,"8,729,920"
"Sep 2, 2021",160.02,161.61,159.43,160.46,"8,815,634"
"Sep 3, 2021",160.39,160.89,159.15,159.49,"7,961,223"
"Sep 7, 2021",159.99,161.38,158.96,159.21,"9,290,968"
"Sep 8, 2021",158.89,159.58,158.04,158.5,"7,852,678"
"Sep 9, 2021",158.27,160.83,158.08,159.19,"7,904,256"
"Sep 10, 2021",160.56,160.72,157.22,157.36,"8,311,551"
"Sep 13, 2021",158.53,160.05,158.07,159.86,"10,052,807"
"Sep 14, 2021",160.45,161.34,156.26,157.07,"11,685,606"
"Sep 15, 2021",156.72,158.69,156.47,158.16,"11,691,485"
"Sep 16, 2021",159.41,160.85,157.22,158.09,"10,880,895"
"Sep 17, 2021",157.38,159.01,157,157.68,"25,608,018"
"Sep 20, 2021",153.89,154.56,150.49,152.96,"15,819,905"
"Sep 21, 2021",153.53,154.55,152.58,152.98,"8,999,860"
"Sep 22, 2021",155.2,157.25,155.1,155.91,"11,236,150"
"Sep 23, 2021",158,161.71,157.67,161.18,"12,336,136"
"Sep 24, 2021",161.44,163.59,160.82,163.04,"10,102,432"
"Sep 27, 2021",165,167.4,164.61,166.98,"13,220,871"
"Sep 28, 2021",167.7,169.3,165.66,166.08,"13,387,886"
"Sep 29, 2021",166.21,166.9,165.04,165.95,"7,777,078"
"Sep 30, 2021",166.92,166.99,162.79,163.69,"13,168,016"
"Oct 1, 2021",164,168.3,163.6,167.13,"11,284,976"
"Oct 4, 2021",166.97,170.44,165.73,166.95,"14,120,044"
"Oct 5, 2021",167.21,170.14,166.67,168.66,"12,292,877"
"Oct 6, 2021",167.99,169.1,166,169.02,"8,692,607"
"Oct 7, 2021",171.2,171.51,169.54,170.09,"10,195,443"
"Oct 8, 2021",170.02,171.34,169.3,170.22,"8,190,144"
"Oct 11, 2021",170.8,171.29,166.46,166.64,"12,154,737"
"Oct 12, 2021",165.75,166.69,164.77,165.36,"13,032,633"
"Oct 13, 2021",164.07,165.41,160.6,161,"22,753,485"
"Oct 14, 2021",161.75,164.01,160.06,163.47,"15,180,727"
"Oct 15, 2021",165.35,167.17,164.14,166.61,"14,267,441"
"Oct 18, 2021",166.48,168.61,165.91,166.55,"12,672,909"
"Oct 19, 2021",167.4,168.65,166.58,168.57,"8,053,949"
"Oct 20, 2021",168.3,170.87,167.46,170.84,"8,185,565"
"Oct 21, 2021",170.76,171.33,168.68,169.5,"8,415,166"
"Oct 22, 2021",170.03,172.09,169.7,171.78,"8,817,895"
"Oct 25, 2021",172.71,172.96,170.48,170.94,"10,159,202"
"Oct 26, 2021",171,172.49,170.54,171.4,"8,015,067"
"Oct 27, 2021",170.32,170.7,167.34,167.83,"9,846,993"
