,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,PFE,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Pfizer Inc.,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,49.86,,-,-,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"279,759M",9.76,0.68,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,PFE,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Aug 5, 2021",45.00,45.14,44.70,45.06,"23,505,417"
,"Aug 6, 2021",45.09,45.31,44.63,45.07,"20,413,038"
,"Aug 9, 2021",45.11,46.03,45.11,45.98,"32,374,261"
,"Aug 10, 2021",46.20,48.57,45.89,48.19,"81,189,410"
,"Aug 11, 2021",47.78,48.08,46.26,46.31,"50,878,190"
,"Aug 12, 2021",46.50,47.40,46.34,47.24,"29,710,226"
,"Aug 13, 2021",47.41,48.50,47.32,48.48,"35,379,185"
,"Aug 16, 2021",48.23,48.97,47.51,48.91,"38,098,084"
,"Aug 17, 2021",48.78,50.49,48.71,50.42,"68,816,994"
,"Aug 18, 2021",50.23,51.86,49.17,49.31,"88,597,980"
,"Aug 19, 2021",48.50,49.96,48.26,48.80,"57,741,571"
,"Aug 20, 2021",48.98,49.73,48.66,48.72,"35,157,544"
,"Aug 23, 2021",50.29,51.36,49.60,49.93,"88,652,378"
,"Aug 24, 2021",49.74,50.05,48.24,48.38,"52,624,054"
,"Aug 25, 2021",48.04,48.28,46.93,47.51,"51,036,771"
,"Aug 26, 2021",47.70,48.16,47.30,47.38,"29,029,316"
,"Aug 27, 2021",47.37,47.50,46.53,46.60,"32,924,523"
,"Aug 30, 2021",46.20,47.16,46.16,46.76,"25,774,352"
,"Aug 31, 2021",46.72,47.14,45.93,46.07,"34,547,833"
,"Sep 1, 2021",46.19,46.26,45.42,46.04,"32,900,114"
,"Sep 2, 2021",46.48,46.87,46.13,46.84,"26,149,357"
,"Sep 3, 2021",46.90,47.03,46.34,46.84,"20,834,762"
,"Sep 7, 2021",46.99,47.50,46.54,46.75,"26,236,854"
,"Sep 8, 2021",46.51,46.79,46.25,46.51,"15,839,626"
,"Sep 9, 2021",46.47,46.72,45.85,46.03,"21,695,324"
,"Sep 10, 2021",46.27,46.35,45.51,45.59,"20,801,502"
,"Sep 13, 2021",45.74,45.83,44.20,44.58,"37,086,226"
,"Sep 14, 2021",44.67,45.26,44.55,44.71,"24,100,217"
,"Sep 15, 2021",44.56,45.37,44.47,44.77,"28,674,628"
,"Sep 16, 2021",44.88,44.99,44.03,44.47,"22,424,169"
,"Sep 17, 2021",44.17,44.46,43.31,43.89,"56,420,686"
,"Sep 20, 2021",43.39,44.65,43.39,44.20,"41,873,015"
,"Sep 21, 2021",44.25,44.73,43.85,43.92,"23,645,594"
,"Sep 22, 2021",43.99,44.39,43.83,43.95,"22,616,743"
,"Sep 23, 2021",44.28,44.72,44.15,44.19,"19,719,166"
,"Sep 24, 2021",44.07,44.41,43.81,43.94,"16,150,746"
,"Sep 27, 2021",43.92,44.13,43.51,43.57,"19,955,901"
,"Sep 28, 2021",43.07,43.28,42.43,43.04,"28,512,222"
,"Sep 29, 2021",43.22,43.69,43.08,43.53,"18,037,241"
,"Sep 30, 2021",43.79,44.05,42.97,43.01,"21,112,583"
,"Oct 1, 2021",42.52,43.10,41.70,42.93,"38,482,996"
,"Oct 4, 2021",42.93,43.35,42.21,42.42,"28,906,548"
,"Oct 5, 2021",42.53,42.79,42.28,42.32,"19,342,555"
,"Oct 6, 2021",42.06,42.20,41.69,42.02,"30,483,844"
,"Oct 7, 2021",42.52,42.96,42.21,42.74,"19,778,304"
,"Oct 8, 2021",42.73,42.91,42.34,42.45,"12,778,598"
,"Oct 11, 2021",42.45,42.62,42.01,42.06,"11,984,161"
,"Oct 12, 2021",42.16,42.21,41.66,41.85,"16,222,295"
,"Oct 13, 2021",41.75,41.91,40.94,41.42,"28,205,715"
,"Oct 14, 2021",41.56,41.96,41.52,41.67,"17,590,308"
,"Oct 15, 2021",41.90,42.03,41.38,41.49,"23,550,344"
,"Oct 18, 2021",41.45,41.70,41.04,41.32,"21,732,991"
,"Oct 19, 2021",41.60,42.20,41.54,42.09,"17,159,787"
,"Oct 20, 2021",42.12,43.11,42.10,42.80,"22,788,277"
,"Oct 21, 2021",43.06,43.09,42.43,42.86,"22,142,324"
,"Oct 22, 2021",42.82,43.19,42.63,43.16,"17,183,013"
,"Oct 25, 2021",43.20,43.24,42.57,43.15,"22,846,241"
,"Oct 26, 2021",43.33,43.76,42.92,43.56,"29,729,051"
,"Oct 27, 2021",43.46,43.56,42.68,42.97,"22,317,476"
,"Oct 28, 2021",42.95,43.67,42.94,43.18,"18,023,407"
,"Oct 29, 2021",43.09,43.83,42.86,43.74,"30,307,485"
,"Nov 1, 2021",44.14,44.29,43.44,43.64,"32,681,515"
,"Nov 2, 2021",45.08,46.04,43.05,45.45,"69,247,983"
,"Nov 3, 2021",45.52,45.99,44.48,44.82,"44,593,137"
,"Nov 4, 2021",44.29,44.47,43.31,43.85,"38,172,536"
,"Nov 5, 2021",48.09,48.81,46.55,48.61,"173,959,104"
,"Nov 8, 2021",48.61,48.79,47.60,48.33,"57,423,266"
,"Nov 9, 2021",48.33,48.38,47.15,47.30,"29,920,438"
