,Date,Open,High,Low,Close,Volume
,"Aug 5, 2021",143.35,143.55,141.47,142.5,"5,363,444"
,"Aug 6, 2021",143.03,143.12,141.22,141.41,"6,030,208"
,"Aug 9, 2021",141.95,142.59,141.7,142.18,"4,743,859"
,"Aug 10, 2021",141.91,142.51,141.66,142.27,"5,253,709"
,"Aug 11, 2021",142.74,143.24,142.47,142.62,"4,205,314"
,"Aug 12, 2021",143.15,143.15,142.35,142.95,"4,956,225"
,"Aug 13, 2021",142.95,143.99,142.69,143.64,"4,888,836"
,"Aug 16, 2021",143.67,144.69,143.38,144.64,"6,041,066"
,"Aug 17, 2021",144.4,145.6,143.89,144.88,"7,577,047"
,"Aug 18, 2021",144.7,144.88,143.18,143.3,"7,161,992"
,"Aug 19, 2021",143.16,145.28,143.16,144.99,"5,787,162"
,"Aug 20, 2021",145.25,145.98,144.78,145.09,"5,273,873"
,"Aug 23, 2021",144.29,145.34,144.23,144.35,"4,522,261"
,"Aug 24, 2021",144.01,144.15,142.98,143.18,"4,560,484"
,"Aug 25, 2021",143.07,143.13,142.25,142.67,"3,861,614"
,"Aug 26, 2021",142.56,142.71,141.47,142.42,"4,749,426"
,"Aug 27, 2021",142.48,142.77,141.64,142.31,"4,741,264"
,"Aug 30, 2021",142.6,142.99,142.05,142.93,"3,845,772"
,"Aug 31, 2021",143.04,143.53,142.05,142.39,"9,642,489"
,"Sep 1, 2021",142.33,144.19,142.23,143.84,"6,214,198"
,"Sep 2, 2021",143.97,144.73,143.58,143.95,"5,393,716"
,"Sep 3, 2021",143.76,144.37,143.52,144.05,"5,466,418"
,"Sep 7, 2021",144.32,144.5,143.29,143.51,"6,520,657"
,"Sep 8, 2021",143.08,144.94,143.01,144.6,"6,897,784"
,"Sep 9, 2021",144.57,144.88,143.65,143.99,"6,354,834"
,"Sep 10, 2021",144.06,144.46,143.32,144.13,"5,750,027"
,"Sep 13, 2021",144.85,147.23,144.85,145.68,"9,952,577"
,"Sep 14, 2021",146.13,146.36,144.95,145.43,"5,831,807"
,"Sep 15, 2021",145.35,145.77,144.74,145.12,"6,237,213"
,"Sep 16, 2021",144.84,145.19,142.82,144.11,"6,142,295"
,"Sep 17, 2021",144.37,146.28,144.23,144.34,"18,738,769"
,"Sep 20, 2021",144.22,144.85,141.97,142.89,"10,238,721"
,"Sep 21, 2021",142.98,144.53,142.88,143.11,"6,651,313"
,"Sep 22, 2021",143.82,144.35,142.86,143.6,"6,332,653"
,"Sep 23, 2021",144.06,144.69,143.49,144.19,"5,171,154"
,"Sep 24, 2021",143.8,144.45,143.09,143.55,"5,009,363"
,"Sep 27, 2021",143.15,143.17,141.52,141.66,"5,749,826"
,"Sep 28, 2021",141.05,141.37,139.56,140.59,"7,015,310"
,"Sep 29, 2021",140.27,142.68,140.18,142.02,"5,459,953"
,"Sep 30, 2021",142.64,142.74,139.53,139.8,"6,936,629"
,"Oct 1, 2021",139.93,140.23,138.32,139.58,"5,587,249"
,"Oct 4, 2021",139.39,140.4,137.6,138.79,"5,816,040"
,"Oct 5, 2021",138.8,140.52,138.72,139.33,"6,902,715"
