Date,Open,High,Low,Close,Volume
"Aug 5, 2021",57.13,57.7,56.83,57.2,"15,180,188"
"Aug 6, 2021",57.66,58.07,57.53,57.86,"14,888,494"
"Aug 9, 2021",57.13,57.52,56.83,57.2,"17,828,210"
"Aug 10, 2021",57.42,58.36,57.3,58.18,"16,340,241"
"Aug 11, 2021",58.19,58.5,57.72,58.35,"18,278,629"
"Aug 12, 2021",57.4,57.79,56.87,57.35,"19,227,450"
"Aug 13, 2021",57.03,57.07,56.3,56.77,"20,062,990"
"Aug 16, 2021",56.02,56.09,55.27,55.94,"16,969,045"
"Aug 17, 2021",55.5,56.3,55,55.56,"16,243,655"
"Aug 18, 2021",55.42,55.81,54.31,54.39,"21,890,519"
"Aug 19, 2021",53.47,53.71,52.1,52.73,"30,923,509"
"Aug 20, 2021",52.27,53.14,52.11,52.74,"16,918,278"
"Aug 23, 2021",53.95,55.06,53.95,54.91,"21,632,614"
"Aug 24, 2021",55.29,55.85,55.01,55.36,"17,915,557"
"Aug 25, 2021",55.24,55.77,54.87,55.46,"13,270,317"
"Aug 26, 2021",55.2,55.54,54.63,54.71,"11,842,622"
"Aug 27, 2021",55.4,56.21,55.4,55.77,"15,822,454"
"Aug 30, 2021",56.24,56.34,55.12,55.16,"14,086,122"
"Aug 31, 2021",54.93,55.31,54.46,54.52,"27,104,134"
"Sep 1, 2021",54.49,54.76,53.6,53.77,"21,644,066"
"Sep 2, 2021",54.29,55.64,54.27,55.08,"23,302,226"
"Sep 3, 2021",55.12,55.32,54.6,54.87,"13,847,890"
"Sep 7, 2021",54.67,55.27,54.47,54.55,"14,356,405"
"Sep 8, 2021",54.79,55.18,54.01,54.05,"18,756,725"
"Sep 9, 2021",53.62,55,53.3,54.09,"19,110,784"
"Sep 10, 2021",55.19,55.23,53.95,53.98,"15,123,693"
"Sep 13, 2021",54.65,55.93,54.62,55.37,"22,052,269"
"Sep 14, 2021",55.69,55.77,54.41,54.58,"19,940,299"
"Sep 15, 2021",55.37,56.53,55.31,56.42,"23,240,876"
"Sep 16, 2021",56.46,56.46,55.5,55.82,"17,907,200"
"Sep 17, 2021",55.34,56.75,55.1,55.16,"30,034,434"
"Sep 20, 2021",53.78,54.17,52.96,53.69,"27,555,060"
"Sep 21, 2021",54.37,54.51,53.25,53.64,"19,696,793"
"Sep 22, 2021",54.43,55.91,54.37,55.21,"25,690,630"
"Sep 23, 2021",55.42,57.24,55.28,57.08,"23,069,407"
"Sep 24, 2021",56.7,57.82,56.68,57.59,"22,328,565"
"Sep 27, 2021",58.85,59.8,58.82,59.3,"32,972,244"
"Sep 28, 2021",59.9,60.48,59.51,59.92,"37,619,271"
"Sep 29, 2021",59.84,60.19,59.05,59.88,"23,422,802"
"Sep 30, 2021",60.12,60.17,58.81,58.82,"31,289,624"
"Oct 1, 2021",59.41,60.99,59.41,60.93,"24,407,339"
"Oct 4, 2021",61.32,62.07,60.95,61.72,"33,946,677"
"Oct 5, 2021",62.52,62.7,61.02,61.62,"29,641,561"
"Oct 6, 2021",60.47,61.12,59.75,60.49,"25,284,920"
"Oct 7, 2021",60.61,61.08,60.14,60.66,"19,513,600"
"Oct 8, 2021",61.25,62.42,61.25,62.18,"22,186,890"
"Oct 11, 2021",63.03,63.06,61.5,61.56,"22,121,487"
"Oct 12, 2021",61.57,61.98,60.85,61.24,"20,198,556"
"Oct 13, 2021",60.78,61.39,60.21,61.07,"14,991,717"
"Oct 14, 2021",61.71,62.22,61.17,62,"18,594,501"
"Oct 15, 2021",62.73,63.07,62.44,62.59,"16,092,605"
"Oct 18, 2021",63.09,63.14,62.27,62.56,"18,282,798"
"Oct 19, 2021",62.87,63.61,62.67,63.5,"18,933,153"
"Oct 20, 2021",62.89,63.87,62.72,63.85,"14,305,157"
"Oct 21, 2021",63.47,63.64,62.35,62.69,"16,564,635"
"Oct 22, 2021",62.77,63.22,62.35,63.12,"14,266,846"
"Oct 25, 2021",63.72,64.42,63.58,64.35,"17,939,771"
"Oct 26, 2021",64.49,65.94,64.36,65.84,"25,585,099"
"Oct 27, 2021",65.16,65.25,63.98,64.13,"21,764,456"
"Oct 28, 2021",63.82,64.47,63.63,64.31,"16,626,405"
"Oct 29, 2021",65.05,65.36,64.33,64.47,"23,966,325"
"Nov 1, 2021",65.07,66.08,65.02,65.63,"19,656,447"
"Nov 2, 2021",65.03,65.45,64.66,64.82,"16,300,049"
"Nov 3, 2021",64.04,64.45,63.66,63.93,"17,372,767"
"Nov 4, 2021",64.68,64.89,63.83,64.41,"17,720,122"
"Nov 5, 2021",65.05,65.33,64.56,65.02,"18,565,134"
"Nov 8, 2021",65.55,66.38,65.38,65.72,"17,696,033"
"Nov 9, 2021",65.77,66.37,65.31,66.36,"18,781,338"
"Nov 10, 2021",65.32,65.65,63.77,64.19,"20,177,215"
"Nov 11, 2021",64.19,64.83,64.02,64.31,"13,319,297"
"Nov 12, 2021",63.96,64.37,63.58,63.82,"18,158,875"
"Nov 15, 2021",63.76,64.77,63.22,64.37,"18,849,164"
"Nov 16, 2021",64.34,65.37,64.34,65.02,"17,028,697"
"Nov 17, 2021",64.38,65.24,64.18,64.31,"15,496,983"
"Nov 18, 2021",64.16,64.53,63.11,63.61,"16,948,183"
"Nov 19, 2021",61.89,62.03,60.41,60.67,"32,035,483"
"Nov 22, 2021",60.32,62.54,60.32,61.51,"21,998,749"
"Nov 23, 2021",62.19,63.38,61.92,63.13,"21,185,932"
"Nov 24, 2021",62.58,63.85,62.58,63.48,"15,869,658"
"Nov 26, 2021",60.52,61.42,59.54,61.25,"24,979,586"
"Nov 29, 2021",62.57,63.14,61.29,61.59,"18,946,364"
